"Bevolking en huishoudens; viercijferige postcode, 1 januari 2006";;;;;;;;;;;
Onderwerpen;Allochtonen naar herkomstgroepering;Allochtonen naar herkomstgroepering;Allochtonen naar herkomstgroepering;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Lokalisering van de postcode;;
Onderwerpen;Totaal allochtonen;Westerse allochtonen;Niet-westerse allochtonen;Totaal particuliere huishoudens;Eenpersoonshuishoudens;Meerpersoonshuishoudens zonder kinderen;Meerpersoonshuishoudens met kinderen;Gemiddelde huishoudensgrootte;Gemeentenaam;;totaalpers
Postcodes op 1 januari;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;naam;;
1011 Amsterdam;3205;2110;1095;5760;3930;1000;835;1.48;Amsterdam;;8524.8
1012 Amsterdam;2915;1950;965;5280;3895;985;405;1.36;Amsterdam;;7180.8
1013 Amsterdam;8345;3245;5105;11880;7720;1920;2235;1.59;Amsterdam;;18889.2
1014 Amsterdam;40;20;25;100;70;20;10;1.45;Amsterdam;;145
1015 Amsterdam;5610;3520;2090;11160;7985;1790;1385;1.42;Amsterdam;;15847.2
1016 Amsterdam;3875;2765;1110;7235;4905;1445;880;1.46;Amsterdam;;10563.1
1017 Amsterdam;4360;3175;1185;8045;5455;1630;965;1.49;Amsterdam;;11987.05
1018 Amsterdam;7880;3715;4160;12205;7870;2165;2165;1.58;Amsterdam;;19283.9
1019 Amsterdam;6000;2440;3560;8325;3655;2055;2615;2.01;Amsterdam;;16733.25
1021 Amsterdam;4160;610;3555;3540;1880;570;1090;1.94;Amsterdam;;6867.6
1022 Amsterdam;725;125;605;685;360;125;210;1.99;Amsterdam;;1363.15
1023 Amsterdam;745;450;290;2290;985;675;630;1.94;Amsterdam;;4442.6
1024 Amsterdam;8380;1075;7310;5885;2395;1060;2430;2.25;Amsterdam;;13241.25
1025 Amsterdam;6080;1550;4530;7470;3580;1795;2100;1.93;Amsterdam;;14417.1
1026 Amsterdam;50;35;15;200;60;65;75;2.33;Amsterdam;;466
1027 Amsterdam;40;25;15;175;50;65;65;2.37;Amsterdam;;414.75
1028 Amsterdam;55;35;20;235;70;60;105;2.51;Amsterdam;;589.85
1031 Amsterdam;2880;470;2410;2725;1475;465;785;1.89;Amsterdam;;5150.25
1032 Amsterdam;1610;380;1235;2585;1200;565;825;1.93;Amsterdam;;4989.05
1033 Amsterdam;2975;915;2060;5790;2720;1390;1675;1.93;Amsterdam;;11174.7
1034 Amsterdam;7315;1245;6070;6445;2700;1360;2380;2.15;Amsterdam;;13856.75
1035 Amsterdam;3255;1005;2245;4490;1480;1220;1795;2.27;Amsterdam;;10192.3
1037 Amsterdam;20;15;10;70;20;20;25;2.17;Amsterdam;;151.9
1041 Amsterdam;5;5;0;20;5;10;5;1.89;Amsterdam;;37.8
1042 Amsterdam;5;5;5;15;10;5;5;1.61;Amsterdam;;24.15
1043 Amsterdam;10;10;0;25;20;5;0;1.13;Amsterdam;;28.25
1044 Amsterdam;10;10;0;0;0;5;0;9;Amsterdam;;0
1045 Amsterdam;25;20;0;60;50;0;5;1.18;Amsterdam;;70.8
1046 Amsterdam;5;0;0;5;5;0;0;1.33;Amsterdam;;6.65
1047 Amsterdam;10;10;0;20;5;5;10;2.27;Amsterdam;;45.4
1051 Amsterdam;5465;1910;3555;7395;4630;1240;1525;1.66;Amsterdam;;12275.7
1052 Amsterdam;4415;1960;2455;7180;4790;1280;1110;1.53;Amsterdam;;10985.4
1053 Amsterdam;6300;2465;3840;9650;6495;1710;1450;1.51;Amsterdam;;14571.5
1054 Amsterdam;5345;3305;2045;10065;6470;1980;1615;1.55;Amsterdam;;15600.75
1055 Amsterdam;11455;1970;9490;10400;5870;2000;2530;1.81;Amsterdam;;18824
1056 Amsterdam;9090;2360;6730;10415;6200;2065;2150;1.7;Amsterdam;;17705.5
1057 Amsterdam;9185;2185;6995;9360;5350;1850;2155;1.75;Amsterdam;;16380
1058 Amsterdam;4785;2340;2445;8250;4890;1920;1435;1.62;Amsterdam;;13365
1059 Amsterdam;2300;1045;1260;3645;2235;820;590;1.58;Amsterdam;;5759.1
1060 Amsterdam;5030;1115;3915;3885;960;885;2040;2.65;Amsterdam;;10295.25
1061 Amsterdam;8885;485;8405;3845;1530;520;1790;2.59;Amsterdam;;9958.55
1062 Amsterdam;4860;915;3950;3835;1905;885;1050;2.03;Amsterdam;;7785.05
1063 Amsterdam;7815;1090;6725;5885;2900;1150;1830;2.03;Amsterdam;;11946.55
1064 Amsterdam;9780;1535;8245;7750;3805;1570;2370;2.05;Amsterdam;;15887.5
1065 Amsterdam;5525;1205;4315;5225;2615;1215;1395;1.94;Amsterdam;;10136.5
1066 Amsterdam;7050;2165;4880;7260;2420;1765;3070;2.34;Amsterdam;;16988.4
1067 Amsterdam;10285;1420;8860;7040;2595;1520;2925;2.34;Amsterdam;;16473.6
1068 Amsterdam;7065;1465;5605;7895;4180;2030;1680;1.82;Amsterdam;;14368.9
1069 Amsterdam;11345;1795;9550;9065;4010;2040;3020;2.1;Amsterdam;;19036.5
1071 Amsterdam;3975;3050;920;7285;4225;1600;1465;1.72;Amsterdam;;12530.2
1072 Amsterdam;5275;2370;2910;8715;6035;1570;1110;1.47;Amsterdam;;12811.05
1073 Amsterdam;5595;2285;3310;8055;5255;1425;1380;1.56;Amsterdam;;12565.8
1074 Amsterdam;3400;1290;2110;4855;3175;860;820;1.57;Amsterdam;;7622.35
1075 Amsterdam;3730;2135;1600;5815;3385;1195;1235;1.71;Amsterdam;;9943.65
1076 Amsterdam;3290;1590;1700;5645;3355;1140;1155;1.62;Amsterdam;;9144.9
1077 Amsterdam;2955;2325;630;4755;2380;1200;1170;1.89;Amsterdam;;8986.95
1078 Amsterdam;4525;2730;1795;8185;4650;1790;1745;1.69;Amsterdam;;13832.65
1079 Amsterdam;4130;2055;2070;8285;5215;1720;1350;1.56;Amsterdam;;12924.6
1081 Amsterdam;1310;885;430;2565;1530;580;460;1.67;Amsterdam;;4283.55
1082 Amsterdam;3320;1885;1430;5170;3020;1280;875;1.63;Amsterdam;;8427.1
1083 Amsterdam;2110;1300;800;3340;1905;895;535;1.63;Amsterdam;;5444.2
1086 Amsterdam;50;10;40;60;20;15;35;2.48;Amsterdam;;148.8
1087 Amsterdam;1270;345;925;1180;310;285;585;2.56;Amsterdam;;3020.8
1091 Amsterdam;8495;2180;6315;8965;5465;1580;1925;1.71;Amsterdam;;15330.15
1092 Amsterdam;5185;1220;3965;4750;2635;895;1220;1.86;Amsterdam;;8835
