"Bevolking en huishoudens; viercijferige postcode, 1 januari 2006"
"Onderwerpen";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Lokalisering van de postcode";"Lokalisering van de postcode"
"Onderwerpen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Gemeentecode";"Gemeentenaam"
"Onderwerpen";"Totaal mannen";"0 tot 5 jaar";"5 tot 10 jaar";"10 tot 15 jaar";"15 tot 20 jaar";"20 tot 25 jaar";"25 tot 30 jaar";"30 tot 35 jaar";"35 tot 40 jaar";"40 tot 45 jaar";"45 tot 50 jaar";"50 tot 55 jaar";"55 tot 60 jaar";"60 tot 65 jaar";"65 tot 70 jaar";"70 tot 75 jaar";"75 tot 80 jaar";"80 tot 85 jaar";"85 tot 90 jaar";"90 tot 95 jaar";"95 jaar of ouder";"Gemeentecode";"Gemeentenaam"
"Postcodes op 1 januari";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code";"naam"
"1011 Amsterdam";"4615";"175";"135";"115";"110";"300";"420";"495";"530";"495";"435";"450";"415";"215";"140";"75";"55";"35";"20";"5";"5";"0363";"Amsterdam"
"1012 Amsterdam";"4155";"125";"55";"35";"75";"420";"600";"650";"530";"430";"355";"285";"250";"165";"95";"45";"25";"15";"5";"0";"0";"0363";"Amsterdam"
"1013 Amsterdam";"9625";"500";"380";"360";"450";"905";"870";"980";"1005";"980";"780";"705";"635";"385";"270";"190";"110";"80";"35";"20";"0";"0363";"Amsterdam"
"1014 Amsterdam";"85";"5";"5";"0";"5";"5";"20";"10";"0";"5";"10";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0363";"Amsterdam"
"1015 Amsterdam";"8475";"365";"220";"160";"200";"465";"790";"970";"1035";"1015";"815";"680";"735";"435";"280";"160";"90";"50";"15";"5";"5";"0363";"Amsterdam"
"1016 Amsterdam";"5630";"260";"130";"85";"135";"295";"515";"655";"735";"595";"535";"460";"475";"290";"190";"120";"75";"40";"30";"10";"0";"0363";"Amsterdam"
"1017 Amsterdam";"6430";"265";"150";"140";"135";"450";"720";"775";"765";"670";"530";"465";"525";"360";"225";"100";"75";"45";"15";"5";"0";"0363";"Amsterdam"
"1018 Amsterdam";"10085";"480";"365";"375";"445";"685";"945";"1045";"1035";"1040";"920";"795";"745";"410";"265";"205";"135";"120";"55";"20";"10";"0363";"Amsterdam"
"1019 Amsterdam";"8530";"765";"575";"385";"335";"210";"425";"945";"1270";"1240";"895";"575";"410";"220";"130";"80";"45";"15";"5";"0";"0";"0363";"Amsterdam"
"1021 Amsterdam";"3450";"270";"200";"190";"225";"215";"275";"325";"340";"305";"270";"230";"195";"125";"120";"70";"50";"30";"10";"0";"0";"0363";"Amsterdam"
"1022 Amsterdam";"690";"40";"45";"40";"45";"60";"50";"70";"60";"55";"50";"45";"45";"30";"10";"10";"15";"5";"0";"0";"0";"0363";"Amsterdam"
"1023 Amsterdam";"2110";"115";"105";"105";"110";"55";"65";"95";"170";"185";"185";"150";"200";"135";"145";"120";"80";"45";"30";"5";"0";"0363";"Amsterdam"
"1024 Amsterdam";"6185";"605";"595";"465";"440";"390";"405";"455";"485";"500";"345";"275";"320";"215";"200";"180";"155";"100";"40";"10";"0";"0363";"Amsterdam"
"1025 Amsterdam";"6920";"455";"415";"385";"455";"435";"440";"425";"485";"520";"495";"395";"440";"350";"345";"300";"285";"170";"90";"30";"10";"0363";"Amsterdam"
"1026 Amsterdam";"245";"15";"20";"15";"10";"10";"5";"5";"25";"25";"30";"20";"20";"25";"10";"5";"10";"5";"0";"0";"0";"0363";"Amsterdam"
"1027 Amsterdam";"220";"20";"15";"15";"5";"5";"5";"10";"15";"25";"10";"20";"25";"15";"15";"10";"5";"0";"0";"5";"0";"0363";"Amsterdam"
"1028 Amsterdam";"300";"10";"20";"20";"20";"15";"15";"10";"25";"25";"25";"25";"25";"20";"10";"10";"10";"5";"0";"0";"0";"0363";"Amsterdam"
"1031 Amsterdam";"2615";"220";"150";"140";"150";"160";"215";"265";"290";"260";"180";"160";"130";"90";"80";"70";"35";"15";"5";"0";"0";"0363";"Amsterdam"
"1032 Amsterdam";"2420";"140";"115";"150";"145";"155";"145";"140";"210";"180";"195";"170";"150";"130";"125";"115";"75";"45";"20";"10";"0";"0363";"Amsterdam"
"1033 Amsterdam";"5425";"300";"235";"300";"370";"405";"335";"340";"370";"455";"410";"375";"380";"240";"245";"230";"220";"135";"55";"15";"0";"0363";"Amsterdam"
"1034 Amsterdam";"6550";"490";"575";"490";"425";"360";"355";"415";"490";"555";"480";"410";"420";"285";"235";"220";"175";"110";"45";"10";"5";"0363";"Amsterdam"
"1035 Amsterdam";"4860";"315";"335";"345";"340";"245";"220";"300";"410";"465";"410";"335";"310";"205";"180";"175";"150";"85";"35";"5";"0";"0363";"Amsterdam"
"1037 Amsterdam";"80";"5";"5";"0";"5";"0";"0";"5";"10";"5";"10";"10";"10";"5";"5";"0";"0";"0";"0";"0";"0";"0363";"Amsterdam"
"1041 Amsterdam";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0363";"Amsterdam"
"1042 Amsterdam";"20";"0";"0";"0";"0";"5";"5";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0363";"Amsterdam"
"1043 Amsterdam";"20";"0";"0";"0";"0";"5";"0";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0363";"Amsterdam"
"1044 Amsterdam";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0363";"Amsterdam"
"1045 Amsterdam";"45";"0";"0";"0";"0";"0";"0";"10";"5";"10";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0363";"Amsterdam"
