"Bevolking en huishoudens; viercijferige postcode, 1 januari 2006"
"Onderwerpen";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Lokalisering van de postcode";"Lokalisering van de postcode"
"Onderwerpen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Gemeentecode";"Gemeentenaam"
"Onderwerpen";"Totaal mannen en vrouwen";"0 tot 5 jaar";"5 tot 10 jaar";"10 tot 15 jaar";"15 tot 20 jaar";"20 tot 25 jaar";"25 tot 30 jaar";"30 tot 35 jaar";"35 tot 40 jaar";"40 tot 45 jaar";"45 tot 50 jaar";"50 tot 55 jaar";"55 tot 60 jaar";"60 tot 65 jaar";"65 tot 70 jaar";"70 tot 75 jaar";"75 tot 80 jaar";"80 tot 85 jaar";"85 tot 90 jaar";"90 tot 95 jaar";"95 jaar of ouder";"Gemeentecode";"Gemeentenaam"
"Postcodes op 1 januari";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code";"naam"
"1011 Amsterdam";"8815";"370";"265";"225";"245";"640";"890";"915";"890";"840";"790";"785";"765";"400";"255";"175";"145";"110";"70";"35";"5";"0363";"Amsterdam"
"1012 Amsterdam";"7200";"240";"100";"75";"180";"855";"1130";"1090";"835";"645";"545";"445";"430";"260";"165";"80";"55";"35";"15";"10";"5";"0363";"Amsterdam"
"1013 Amsterdam";"19195";"960";"745";"700";"945";"1980";"1840";"1930";"1885";"1780";"1555";"1375";"1225";"730";"505";"355";"245";"225";"145";"55";"20";"0363";"Amsterdam"
"1014 Amsterdam";"145";"5";"5";"5";"10";"20";"30";"10";"5";"5";"10";"10";"10";"10";"10";"0";"5";"0";"0";"0";"0";"0363";"Amsterdam"
"1015 Amsterdam";"15890";"720";"435";"330";"430";"1045";"1585";"1835";"1835";"1665";"1365";"1210";"1375";"775";"520";"315";"195";"145";"80";"15";"5";"0363";"Amsterdam"
"1016 Amsterdam";"10800";"470";"255";"185";"280";"680";"1145";"1285";"1260";"1015";"900";"840";"875";"550";"350";"215";"170";"145";"110";"45";"5";"0363";"Amsterdam"
"1017 Amsterdam";"12000";"560";"315";"265";"325";"975";"1490";"1515";"1285";"1060";"840";"790";"940";"660";"410";"225";"175";"105";"40";"15";"0";"0363";"Amsterdam"
"1018 Amsterdam";"20000";"915";"690";"735";"865";"1595";"1935";"2030";"1890";"1915";"1730";"1495";"1430";"785";"515";"405";"315";"345";"250";"110";"40";"0363";"Amsterdam"
"1019 Amsterdam";"16700";"1565";"1150";"780";"665";"505";"925";"1925";"2460";"2270";"1635";"1085";"765";"405";"255";"160";"95";"35";"10";"5";"0";"0363";"Amsterdam"
"1021 Amsterdam";"6885";"500";"415";"390";"465";"485";"580";"625";"610";"590";"530";"445";"400";"240";"235";"160";"115";"60";"20";"10";"0";"0363";"Amsterdam"
"1022 Amsterdam";"1370";"90";"85";"85";"95";"115";"115";"140";"115";"110";"105";"80";"80";"55";"40";"30";"20";"10";"5";"5";"5";"0363";"Amsterdam"
"1023 Amsterdam";"4450";"210";"210";"220";"235";"115";"145";"205";"360";"400";"375";"315";"415";"295";"290";"240";"180";"145";"75";"15";"5";"0363";"Amsterdam"
"1024 Amsterdam";"13230";"1200";"1205";"925";"900";"860";"945";"1010";"1005";"1020";"770";"580";"640";"460";"440";"435";"370";"255";"145";"45";"15";"0363";"Amsterdam"
"1025 Amsterdam";"14650";"855";"785";"755";"880";"895";"885";"890";"1010";"1080";"955";"810";"905";"780";"770";"690";"690";"510";"330";"150";"30";"0363";"Amsterdam"
"1026 Amsterdam";"475";"35";"35";"35";"20";"10";"10";"15";"45";"55";"40";"35";"35";"35";"20";"15";"15";"10";"0";"0";"0";"0363";"Amsterdam"
"1027 Amsterdam";"420";"25";"30";"25";"15";"10";"10";"15";"30";"35";"30";"40";"50";"30";"35";"20";"10";"10";"0";"0";"0";"0363";"Amsterdam"
"1028 Amsterdam";"595";"30";"35";"35";"30";"30";"20";"25";"50";"60";"50";"55";"55";"35";"25";"15";"20";"15";"5";"0";"0";"0363";"Amsterdam"
"1031 Amsterdam";"5140";"435";"315";"270";"280";"380";"480";"510";"550";"445";"350";"290";"235";"185";"135";"115";"70";"45";"25";"10";"0";"0363";"Amsterdam"
"1032 Amsterdam";"4985";"250";"245";"275";"305";"325";"290";"310";"405";"380";"405";"340";"315";"275";"265";"245";"185";"120";"55";"15";"0";"0363";"Amsterdam"
"1033 Amsterdam";"11240";"520";"480";"555";"770";"785";"690";"720";"775";"925";"845";"765";"755";"520";"540";"540";"525";"330";"155";"40";"0";"0363";"Amsterdam"
"1034 Amsterdam";"13985";"975";"1060";"960";"905";"795";"780";"935";"1060";"1130";"955";"860";"860";"635";"530";"495";"460";"335";"195";"60";"15";"0363";"Amsterdam"
"1035 Amsterdam";"10190";"680";"680";"695";"630";"480";"465";"640";"860";"950";"840";"685";"640";"425";"400";"425";"350";"225";"110";"20";"0";"0363";"Amsterdam"
"1037 Amsterdam";"155";"5";"5";"5";"10";"5";"5";"10";"15";"15";"10";"20";"10";"5";"10";"5";"0";"5";"5";"0";"0";"0363";"Amsterdam"
"1041 Amsterdam";"40";"0";"0";"5";"0";"5";"0";"0";"0";"0";"5";"5";"5";"0";"5";"5";"0";"0";"0";"0";"0";"0363";"Amsterdam"
"1042 Amsterdam";"25";"0";"0";"0";"5";"10";"5";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0363";"Amsterdam"
