"Bevolking en huishoudens; viercijferige postcode, 1 januari 2006"
"Onderwerpen";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Lokalisering van de postcode";"Lokalisering van de postcode"
"Onderwerpen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Gemeentecode";"Gemeentenaam"
"Onderwerpen";"Totaal vrouwen";"0 tot 5 jaar";"5 tot 10 jaar";"10 tot 15 jaar";"15 tot 20 jaar";"20 tot 25 jaar";"25 tot 30 jaar";"30 tot 35 jaar";"35 tot 40 jaar";"40 tot 45 jaar";"45 tot 50 jaar";"50 tot 55 jaar";"55 tot 60 jaar";"60 tot 65 jaar";"65 tot 70 jaar";"70 tot 75 jaar";"75 tot 80 jaar";"80 tot 85 jaar";"85 tot 90 jaar";"90 tot 95 jaar";"95 jaar of ouder";"Gemeentecode";"Gemeentenaam"
"Postcodes op 1 januari";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code";"naam"
"1011 Amsterdam";"4200";"190";"125";"110";"140";"340";"470";"425";"360";"340";"355";"340";"355";"180";"120";"95";"90";"80";"50";"30";"5";"0363";"Amsterdam"
"1012 Amsterdam";"3040";"120";"50";"45";"105";"435";"535";"435";"300";"210";"185";"160";"175";"95";"65";"40";"35";"20";"10";"5";"0";"0363";"Amsterdam"
"1013 Amsterdam";"9575";"460";"365";"340";"495";"1080";"975";"955";"885";"795";"775";"670";"585";"345";"235";"170";"135";"145";"110";"40";"15";"0363";"Amsterdam"
"1014 Amsterdam";"60";"0";"0";"5";"0";"15";"10";"0";"0";"0";"5";"5";"5";"5";"5";"0";"0";"5";"0";"0";"0";"0363";"Amsterdam"
"1015 Amsterdam";"7415";"360";"215";"175";"230";"580";"795";"870";"805";"655";"555";"530";"635";"340";"240";"155";"110";"95";"60";"15";"0";"0363";"Amsterdam"
"1016 Amsterdam";"5165";"215";"125";"95";"145";"385";"630";"630";"530";"420";"370";"380";"400";"260";"160";"105";"95";"100";"75";"35";"10";"0363";"Amsterdam"
"1017 Amsterdam";"5575";"295";"160";"120";"190";"525";"770";"735";"515";"395";"315";"330";"420";"305";"180";"120";"95";"60";"25";"10";"0";"0363";"Amsterdam"
"1018 Amsterdam";"9915";"435";"330";"360";"425";"910";"990";"990";"860";"875";"810";"705";"695";"370";"250";"200";"180";"225";"195";"85";"30";"0363";"Amsterdam"
"1019 Amsterdam";"8170";"795";"575";"395";"335";"295";"500";"985";"1190";"1030";"745";"515";"355";"185";"125";"80";"45";"15";"5";"5";"0";"0363";"Amsterdam"
"1021 Amsterdam";"3435";"225";"220";"195";"240";"265";"315";"300";"270";"290";"260";"215";"205";"115";"115";"90";"65";"35";"10";"5";"5";"0363";"Amsterdam"
"1022 Amsterdam";"680";"55";"35";"40";"50";"50";"70";"65";"55";"55";"55";"30";"35";"25";"25";"20";"5";"5";"0";"0";"0";"0363";"Amsterdam"
"1023 Amsterdam";"2340";"95";"100";"115";"125";"55";"80";"110";"190";"220";"185";"165";"215";"165";"150";"115";"100";"100";"45";"10";"5";"0363";"Amsterdam"
"1024 Amsterdam";"7050";"590";"610";"460";"465";"475";"535";"555";"520";"520";"425";"305";"320";"250";"235";"255";"210";"155";"105";"35";"10";"0363";"Amsterdam"
