"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"";"";"Onderwerpen";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Regionale coderingen"
"";"";"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Gemeente"
"Regio's";"Perioden";"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code"
"Aa en Hunze";"2006";"Totaal leeftijden";"25507";"12618";"12889";"10033";"5454";"4579";"12613";"6293";"6320";"1711";"333";"1378";"1150";"538";"612";"1680"
"Aa en Hunze";"2006";"Jonger dan 5 jaar";"1422";"706";"716";"1422";"706";"716";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1680"
"Aa en Hunze";"2006";"5 tot 10 jaar";"1592";"825";"767";"1592";"825";"767";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1680"
"Aa en Hunze";"2006";"10 tot 15 jaar";"1621";"807";"814";"1621";"807";"814";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1680"
"Aa en Hunze";"2006";"15 tot 20 jaar";"1359";"721";"638";"1358";"721";"637";"1";"-";"1";"-";"-";"-";"-";"-";"-";"1680"
"Aa en Hunze";"2006";"20 tot 25 jaar";"851";"487";"364";"830";"480";"350";"21";"7";"14";"-";"-";"-";"-";"-";"-";"1680"
"Aa en Hunze";"2006";"25 tot 30 jaar";"861";"419";"442";"655";"356";"299";"200";"61";"139";"1";"-";"1";"5";"2";"3";"1680"
"Aa en Hunze";"2006";"30 tot 35 jaar";"1328";"640";"688";"640";"359";"281";"646";"266";"380";"-";"-";"-";"42";"15";"27";"1680"
"Aa en Hunze";"2006";"35 tot 40 jaar";"1820";"882";"938";"540";"311";"229";"1171";"521";"650";"4";"-";"4";"105";"50";"55";"1680"
"Aa en Hunze";"2006";"40 tot 45 jaar";"2114";"1049";"1065";"451";"279";"172";"1487";"703";"784";"12";"1";"11";"164";"66";"98";"1680"
"Aa en Hunze";"2006";"45 tot 50 jaar";"2122";"1073";"1049";"310";"192";"118";"1574";"777";"797";"38";"8";"30";"200";"96";"104";"1680"
"Aa en Hunze";"2006";"50 tot 55 jaar";"2089";"1070";"1019";"209";"141";"68";"1646";"822";"824";"56";"15";"41";"178";"92";"86";"1680"
"Aa en Hunze";"2006";"55 tot 60 jaar";"2259";"1130";"1129";"146";"99";"47";"1840";"915";"925";"92";"29";"63";"181";"87";"94";"1680"
"Aa en Hunze";"2006";"60 tot 65 jaar";"1608";"829";"779";"78";"60";"18";"1281";"681";"600";"130";"34";"96";"119";"54";"65";"1680"
"Aa en Hunze";"2006";"65 tot 70 jaar";"1380";"700";"680";"50";"36";"14";"1103";"596";"507";"152";"26";"126";"75";"42";"33";"1680"
"Aa en Hunze";"2006";"70 tot 75 jaar";"1119";"521";"598";"52";"33";"19";"794";"437";"357";"238";"35";"203";"35";"16";"19";"1680"
"Aa en Hunze";"2006";"75 tot 80 jaar";"874";"385";"489";"41";"28";"13";"509";"296";"213";"301";"51";"250";"23";"10";"13";"1680"
"Aa en Hunze";"2006";"80 tot 85 jaar";"600";"231";"369";"24";"15";"9";"238";"144";"94";"323";"67";"256";"15";"5";"10";"1680"
"Aa en Hunze";"2006";"85 tot 90 jaar";"338";"110";"228";"8";"5";"3";"86";"55";"31";"238";"47";"191";"6";"3";"3";"1680"
"Aa en Hunze";"2006";"90 tot 95 jaar";"132";"31";"101";"5";"1";"4";"16";"12";"4";"109";"18";"91";"2";"-";"2";"1680"
"Aa en Hunze";"2006";"95 jaar of ouder";"18";"2";"16";"1";"-";"1";"-";"-";"-";"17";"2";"15";"-";"-";"-";"1680"
"Aalburg";"2006";"Totaal leeftijden";"12222";"6138";"6084";"5406";"2915";"2491";"5902";"2950";"2952";"578";"122";"456";"336";"151";"185";"0738"
"Aalburg";"2006";"Jonger dan 5 jaar";"879";"449";"430";"879";"449";"430";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0738"
"Aalburg";"2006";"5 tot 10 jaar";"949";"492";"457";"949";"492";"457";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0738"
"Aalburg";"2006";"10 tot 15 jaar";"956";"473";"483";"956";"473";"483";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0738"
"Aalburg";"2006";"15 tot 20 jaar";"866";"439";"427";"863";"439";"424";"3";"-";"3";"-";"-";"-";"-";"-";"-";"0738"
"Aalburg";"2006";"20 tot 25 jaar";"739";"388";"351";"671";"374";"297";"68";"14";"54";"-";"-";"-";"-";"-";"-";"0738"
"Aalburg";"2006";"25 tot 30 jaar";"670";"348";"322";"372";"240";"132";"286";"105";"181";"2";"-";"2";"10";"3";"7";"0738"
"Aalburg";"2006";"30 tot 35 jaar";"819";"395";"424";"221";"126";"95";"572";"257";"315";"1";"-";"1";"25";"12";"13";"0738"
"Aalburg";"2006";"35 tot 40 jaar";"1038";"523";"515";"171";"121";"50";"815";"380";"435";"3";"1";"2";"49";"21";"28";"0738"
"Aalburg";"2006";"40 tot 45 jaar";"915";"471";"444";"96";"64";"32";"770";"383";"387";"3";"-";"3";"46";"24";"22";"0738"
"Aalburg";"2006";"45 tot 50 jaar";"793";"412";"381";"63";"44";"19";"665";"344";"321";"12";"3";"9";"53";"21";"32";"0738"
"Aalburg";"2006";"50 tot 55 jaar";"763";"388";"375";"44";"26";"18";"660";"334";"326";"18";"8";"10";"41";"20";"21";"0738"
"Aalburg";"2006";"55 tot 60 jaar";"803";"413";"390";"28";"17";"11";"689";"366";"323";"42";"14";"28";"44";"16";"28";"0738"
"Aalburg";"2006";"60 tot 65 jaar";"522";"282";"240";"11";"8";"3";"446";"245";"201";"41";"15";"26";"24";"14";"10";"0738"
"Aalburg";"2006";"65 tot 70 jaar";"481";"243";"238";"22";"16";"6";"385";"206";"179";"56";"11";"45";"18";"10";"8";"0738"
"Aalburg";"2006";"70 tot 75 jaar";"338";"152";"186";"19";"8";"11";"224";"123";"101";"84";"17";"67";"11";"4";"7";"0738"
"Aalburg";"2006";"75 tot 80 jaar";"305";"126";"179";"17";"9";"8";"180";"101";"79";"104";"15";"89";"4";"1";"3";"0738"
"Aalburg";"2006";"80 tot 85 jaar";"237";"97";"140";"13";"5";"8";"107";"67";"40";"109";"22";"87";"8";"3";"5";"0738"
"Aalburg";"2006";"85 tot 90 jaar";"99";"39";"60";"8";"4";"4";"28";"22";"6";"61";"11";"50";"2";"2";"-";"0738"
"Aalburg";"2006";"90 tot 95 jaar";"40";"6";"34";"2";"-";"2";"3";"2";"1";"34";"4";"30";"1";"-";"1";"0738"
"Aalburg";"2006";"95 jaar of ouder";"10";"2";"8";"1";"-";"1";"1";"1";"-";"8";"1";"7";"-";"-";"-";"0738"
"Aalsmeer";"2006";"Totaal leeftijden";"24145";"12024";"12121";"10326";"5570";"4756";"11301";"5652";"5649";"1287";"242";"1045";"1231";"560";"671";"0358"
"Aalsmeer";"2006";"Jonger dan 5 jaar";"1467";"770";"697";"1467";"770";"697";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0358"
"Aalsmeer";"2006";"5 tot 10 jaar";"1398";"702";"696";"1398";"702";"696";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0358"
"Aalsmeer";"2006";"10 tot 15 jaar";"1540";"813";"727";"1540";"813";"727";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0358"
"Aalsmeer";"2006";"15 tot 20 jaar";"1355";"677";"678";"1354";"677";"677";"1";"-";"1";"-";"-";"-";"-";"-";"-";"0358"
"Aalsmeer";"2006";"20 tot 25 jaar";"1096";"570";"526";"1045";"555";"490";"50";"15";"35";"1";"-";"1";"-";"-";"-";"0358"
"Aalsmeer";"2006";"25 tot 30 jaar";"1153";"585";"568";"913";"518";"395";"229";"64";"165";"-";"-";"-";"11";"3";"8";"0358"
"Aalsmeer";"2006";"30 tot 35 jaar";"1600";"767";"833";"816";"450";"366";"733";"299";"434";"1";"-";"1";"50";"18";"32";"0358"
"Aalsmeer";"2006";"35 tot 40 jaar";"2016";"1005";"1011";"661";"385";"276";"1225";"560";"665";"3";"-";"3";"127";"60";"67";"0358"
"Aalsmeer";"2006";"40 tot 45 jaar";"2025";"1047";"978";"415";"262";"153";"1430";"708";"722";"8";"2";"6";"172";"75";"97";"0358"
"Aalsmeer";"2006";"45 tot 50 jaar";"1832";"936";"896";"270";"165";"105";"1346";"675";"671";"13";"5";"8";"203";"91";"112";"0358"
