"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"";"";"Onderwerpen";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Regionale coderingen"
"";"";"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Gemeente"
"Regio's";"Perioden";"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code"
"Haaksbergen";"2006";"Totaal leeftijden";"24344";"12243";"12101";"10075";"5604";"4471";"11991";"5997";"5994";"1402";"281";"1121";"876";"361";"515";"0158"
"Haaksbergen";"2006";"Jonger dan 5 jaar";"1515";"774";"741";"1515";"774";"741";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0158"
"Haaksbergen";"2006";"5 tot 10 jaar";"1543";"793";"750";"1543";"793";"750";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0158"
"Haaksbergen";"2006";"10 tot 15 jaar";"1531";"779";"752";"1531";"779";"752";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0158"
"Haaksbergen";"2006";"15 tot 20 jaar";"1451";"765";"686";"1447";"764";"683";"4";"1";"3";"-";"-";"-";"-";"-";"-";"0158"
"Haaksbergen";"2006";"20 tot 25 jaar";"1050";"571";"479";"1006";"562";"444";"44";"9";"35";"-";"-";"-";"-";"-";"-";"0158"
"Haaksbergen";"2006";"25 tot 30 jaar";"1121";"580";"541";"877";"510";"367";"239";"69";"170";"1";"-";"1";"4";"1";"3";"0158"
"Haaksbergen";"2006";"30 tot 35 jaar";"1434";"713";"721";"602";"375";"227";"795";"326";"469";"3";"-";"3";"34";"12";"22";"0158"
"Haaksbergen";"2006";"35 tot 40 jaar";"1946";"1000";"946";"514";"334";"180";"1348";"637";"711";"3";"1";"2";"81";"28";"53";"0158"
"Haaksbergen";"2006";"40 tot 45 jaar";"2003";"1052";"951";"352";"236";"116";"1506";"757";"749";"15";"5";"10";"130";"54";"76";"0158"
"Haaksbergen";"2006";"45 tot 50 jaar";"1839";"925";"914";"213";"143";"70";"1469";"716";"753";"20";"6";"14";"137";"60";"77";"0158"
"Haaksbergen";"2006";"50 tot 55 jaar";"1756";"920";"836";"142";"101";"41";"1425";"750";"675";"44";"11";"33";"145";"58";"87";"0158"
"Haaksbergen";"2006";"55 tot 60 jaar";"1808";"910";"898";"96";"74";"22";"1499";"753";"746";"80";"20";"60";"133";"63";"70";"0158"
"Haaksbergen";"2006";"60 tot 65 jaar";"1534";"767";"767";"69";"52";"17";"1261";"648";"613";"126";"30";"96";"78";"37";"41";"0158"
"Haaksbergen";"2006";"65 tot 70 jaar";"1272";"611";"661";"43";"36";"7";"986";"515";"471";"174";"34";"140";"69";"26";"43";"0158"
"Haaksbergen";"2006";"70 tot 75 jaar";"1049";"517";"532";"52";"36";"16";"750";"419";"331";"218";"52";"166";"29";"10";"19";"0158"
"Haaksbergen";"2006";"75 tot 80 jaar";"737";"313";"424";"30";"15";"15";"423";"244";"179";"265";"46";"219";"19";"8";"11";"0158"
"Haaksbergen";"2006";"80 tot 85 jaar";"449";"168";"281";"26";"16";"10";"188";"111";"77";"223";"38";"185";"12";"3";"9";"0158"
"Haaksbergen";"2006";"85 tot 90 jaar";"220";"61";"159";"15";"4";"11";"44";"34";"10";"158";"22";"136";"3";"1";"2";"0158"
"Haaksbergen";"2006";"90 tot 95 jaar";"67";"21";"46";"2";"-";"2";"10";"8";"2";"53";"13";"40";"2";"-";"2";"0158"
"Haaksbergen";"2006";"95 jaar of ouder";"19";"3";"16";"-";"-";"-";"-";"-";"-";"19";"3";"16";"-";"-";"-";"0158"
"Haaren";"2006";"Totaal leeftijden";"13833";"7011";"6822";"6026";"3299";"2727";"6653";"3324";"3329";"659";"165";"494";"495";"223";"272";"0788"
"Haaren";"2006";"Jonger dan 5 jaar";"770";"388";"382";"770";"388";"382";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0788"
"Haaren";"2006";"5 tot 10 jaar";"956";"472";"484";"956";"472";"484";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0788"
"Haaren";"2006";"10 tot 15 jaar";"1010";"493";"517";"1010";"493";"517";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0788"
"Haaren";"2006";"15 tot 20 jaar";"877";"450";"427";"877";"450";"427";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0788"
"Haaren";"2006";"20 tot 25 jaar";"556";"291";"265";"551";"291";"260";"5";"-";"5";"-";"-";"-";"-";"-";"-";"0788"
"Haaren";"2006";"25 tot 30 jaar";"520";"259";"261";"431";"244";"187";"83";"15";"68";"1";"-";"1";"5";"-";"5";"0788"
"Haaren";"2006";"30 tot 35 jaar";"731";"372";"359";"315";"201";"114";"402";"166";"236";"1";"-";"1";"13";"5";"8";"0788"
"Haaren";"2006";"35 tot 40 jaar";"1076";"543";"533";"258";"170";"88";"785";"359";"426";"1";"-";"1";"32";"14";"18";"0788"
"Haaren";"2006";"40 tot 45 jaar";"1193";"629";"564";"195";"139";"56";"915";"453";"462";"8";"6";"2";"75";"31";"44";"0788"
"Haaren";"2006";"45 tot 50 jaar";"1080";"550";"530";"158";"107";"51";"829";"409";"420";"13";"5";"8";"80";"29";"51";"0788"
"Haaren";"2006";"50 tot 55 jaar";"1037";"542";"495";"143";"99";"44";"778";"385";"393";"25";"9";"16";"91";"49";"42";"0788"
"Haaren";"2006";"55 tot 60 jaar";"1189";"640";"549";"133";"108";"25";"926";"482";"444";"42";"11";"31";"88";"39";"49";"0788"
"Haaren";"2006";"60 tot 65 jaar";"908";"478";"430";"64";"48";"16";"726";"379";"347";"64";"18";"46";"54";"33";"21";"0788"
"Haaren";"2006";"65 tot 70 jaar";"669";"342";"327";"51";"32";"19";"520";"279";"241";"77";"23";"54";"21";"8";"13";"0788"
"Haaren";"2006";"70 tot 75 jaar";"516";"254";"262";"34";"23";"11";"357";"200";"157";"111";"26";"85";"14";"5";"9";"0788"
"Haaren";"2006";"75 tot 80 jaar";"399";"179";"220";"46";"20";"26";"217";"128";"89";"121";"24";"97";"15";"7";"8";"0788"
"Haaren";"2006";"80 tot 85 jaar";"205";"78";"127";"18";"7";"11";"83";"48";"35";"101";"22";"79";"3";"1";"2";"0788"
"Haaren";"2006";"85 tot 90 jaar";"96";"37";"59";"9";"4";"5";"24";"19";"5";"62";"13";"49";"1";"1";"-";"0788"
"Haaren";"2006";"90 tot 95 jaar";"35";"9";"26";"5";"2";"3";"1";"-";"1";"26";"6";"20";"3";"1";"2";"0788"
"Haaren";"2006";"95 jaar of ouder";"10";"5";"5";"2";"1";"1";"2";"2";"-";"6";"2";"4";"-";"-";"-";"0788"
"Haarlem";"2006";"Totaal leeftijden";"147015";"71245";"75770";"73010";"37970";"35040";"53476";"26773";"26703";"8579";"1562";"7017";"11950";"4940";"7010";"0392"
"Haarlem";"2006";"Jonger dan 5 jaar";"8932";"4580";"4352";"8932";"4580";"4352";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0392"
"Haarlem";"2006";"5 tot 10 jaar";"7935";"4075";"3860";"7935";"4075";"3860";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0392"
"Haarlem";"2006";"10 tot 15 jaar";"7621";"3852";"3769";"7621";"3852";"3769";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0392"
"Haarlem";"2006";"15 tot 20 jaar";"7558";"3806";"3752";"7537";"3804";"3733";"21";"2";"19";"-";"-";"-";"-";"-";"-";"0392"
"Haarlem";"2006";"20 tot 25 jaar";"8403";"4077";"4326";"7847";"3927";"3920";"531";"144";"387";"1";"-";"1";"24";"6";"18";"0392"
"Haarlem";"2006";"25 tot 30 jaar";"10275";"5053";"5222";"8280";"4355";"3925";"1841";"652";"1189";"5";"1";"4";"149";"45";"104";"0392"
"Haarlem";"2006";"30 tot 35 jaar";"11649";"5755";"5894";"7156";"3879";"3277";"4032";"1715";"2317";"9";"2";"7";"452";"159";"293";"0392"
"Haarlem";"2006";"35 tot 40 jaar";"12747";"6571";"6176";"5792";"3298";"2494";"5913";"2837";"3076";"44";"11";"33";"998";"425";"573";"0392"
"Haarlem";"2006";"40 tot 45 jaar";"11874";"6043";"5831";"3747";"2135";"1612";"6521";"3220";"3301";"65";"19";"46";"1541";"669";"872";"0392"
"Haarlem";"2006";"45 tot 50 jaar";"10751";"5353";"5398";"2720";"1488";"1232";"6298";"3143";"3155";"104";"20";"84";"1629";"702";"927";"0392"
