"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"";"";"Onderwerpen";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Regionale coderingen"
"";"";"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Gemeente"
"Regio's";"Perioden";"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code"
"Raalte";"2006";"Totaal leeftijden";"37259";"18654";"18605";"16753";"9080";"7673";"17413";"8692";"8721";"1958";"400";"1558";"1135";"482";"653";"0177"
"Raalte";"2006";"Jonger dan 5 jaar";"2272";"1141";"1131";"2272";"1141";"1131";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0177"
"Raalte";"2006";"5 tot 10 jaar";"2436";"1224";"1212";"2436";"1224";"1212";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0177"
"Raalte";"2006";"10 tot 15 jaar";"2631";"1345";"1286";"2631";"1345";"1286";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0177"
"Raalte";"2006";"15 tot 20 jaar";"2546";"1302";"1244";"2546";"1302";"1244";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0177"
"Raalte";"2006";"20 tot 25 jaar";"1823";"994";"829";"1771";"984";"787";"48";"10";"38";"-";"-";"-";"4";"-";"4";"0177"
"Raalte";"2006";"25 tot 30 jaar";"1815";"954";"861";"1449";"835";"614";"359";"118";"241";"1";"-";"1";"6";"1";"5";"0177"
"Raalte";"2006";"30 tot 35 jaar";"2102";"1052";"1050";"1008";"622";"386";"1047";"419";"628";"5";"1";"4";"42";"10";"32";"0177"
"Raalte";"2006";"35 tot 40 jaar";"2660";"1333";"1327";"718";"440";"278";"1849";"858";"991";"7";"1";"6";"86";"34";"52";"0177"
"Raalte";"2006";"40 tot 45 jaar";"3233";"1669";"1564";"588";"386";"202";"2452";"1197";"1255";"17";"5";"12";"176";"81";"95";"0177"
"Raalte";"2006";"45 tot 50 jaar";"3131";"1574";"1557";"391";"233";"158";"2501";"1249";"1252";"38";"9";"29";"201";"83";"118";"0177"
"Raalte";"2006";"50 tot 55 jaar";"2731";"1406";"1325";"224";"156";"68";"2268";"1151";"1117";"61";"19";"42";"178";"80";"98";"0177"
"Raalte";"2006";"55 tot 60 jaar";"2585";"1318";"1267";"168";"105";"63";"2157";"1116";"1041";"103";"30";"73";"157";"67";"90";"0177"
"Raalte";"2006";"60 tot 65 jaar";"1912";"989";"923";"125";"97";"28";"1531";"808";"723";"130";"30";"100";"126";"54";"72";"0177"
"Raalte";"2006";"65 tot 70 jaar";"1609";"795";"814";"101";"69";"32";"1237";"652";"585";"201";"44";"157";"70";"30";"40";"0177"
"Raalte";"2006";"70 tot 75 jaar";"1363";"632";"731";"100";"65";"35";"927";"482";"445";"285";"59";"226";"51";"26";"25";"0177"
"Raalte";"2006";"75 tot 80 jaar";"1094";"489";"605";"98";"53";"45";"613";"360";"253";"360";"62";"298";"23";"14";"9";"0177"
"Raalte";"2006";"80 tot 85 jaar";"723";"252";"471";"60";"14";"46";"293";"174";"119";"363";"63";"300";"7";"1";"6";"0177"
"Raalte";"2006";"85 tot 90 jaar";"415";"141";"274";"43";"6";"37";"115";"85";"30";"251";"49";"202";"6";"1";"5";"0177"
"Raalte";"2006";"90 tot 95 jaar";"143";"37";"106";"19";"3";"16";"14";"12";"2";"108";"22";"86";"2";"-";"2";"0177"
"Raalte";"2006";"95 jaar of ouder";"35";"7";"28";"5";"-";"5";"2";"1";"1";"28";"6";"22";"-";"-";"-";"0177"
"Reeuwijk";"2006";"Totaal leeftijden";"12756";"6377";"6379";"5196";"2828";"2368";"6387";"3188";"3199";"632";"116";"516";"541";"245";"296";"0595"
"Reeuwijk";"2006";"Jonger dan 5 jaar";"798";"425";"373";"798";"425";"373";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0595"
"Reeuwijk";"2006";"5 tot 10 jaar";"803";"381";"422";"803";"381";"422";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0595"
"Reeuwijk";"2006";"10 tot 15 jaar";"923";"489";"434";"923";"489";"434";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0595"
"Reeuwijk";"2006";"15 tot 20 jaar";"890";"464";"426";"890";"464";"426";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0595"
"Reeuwijk";"2006";"20 tot 25 jaar";"602";"324";"278";"553";"316";"237";"48";"8";"40";"-";"-";"-";"1";"-";"1";"0595"
"Reeuwijk";"2006";"25 tot 30 jaar";"522";"285";"237";"346";"211";"135";"172";"73";"99";"-";"-";"-";"4";"1";"3";"0595"
"Reeuwijk";"2006";"30 tot 35 jaar";"631";"302";"329";"236";"137";"99";"376";"162";"214";"1";"-";"1";"18";"3";"15";"0595"
"Reeuwijk";"2006";"35 tot 40 jaar";"900";"432";"468";"202";"121";"81";"645";"289";"356";"4";"-";"4";"49";"22";"27";"0595"
"Reeuwijk";"2006";"40 tot 45 jaar";"1000";"496";"504";"158";"103";"55";"759";"354";"405";"6";"2";"4";"77";"37";"40";"0595"
"Reeuwijk";"2006";"45 tot 50 jaar";"977";"496";"481";"96";"59";"37";"795";"398";"397";"7";"2";"5";"79";"37";"42";"0595"
"Reeuwijk";"2006";"50 tot 55 jaar";"973";"505";"468";"71";"54";"17";"806";"412";"394";"19";"7";"12";"77";"32";"45";"0595"
"Reeuwijk";"2006";"55 tot 60 jaar";"1045";"521";"524";"42";"29";"13";"887";"439";"448";"33";"10";"23";"83";"43";"40";"0595"
"Reeuwijk";"2006";"60 tot 65 jaar";"741";"381";"360";"14";"9";"5";"648";"343";"305";"40";"9";"31";"39";"20";"19";"0595"
"Reeuwijk";"2006";"65 tot 70 jaar";"629";"312";"317";"17";"9";"8";"481";"267";"214";"79";"12";"67";"52";"24";"28";"0595"
"Reeuwijk";"2006";"70 tot 75 jaar";"493";"239";"254";"14";"8";"6";"356";"200";"156";"95";"16";"79";"28";"15";"13";"0595"
"Reeuwijk";"2006";"75 tot 80 jaar";"400";"175";"225";"18";"9";"9";"243";"136";"107";"120";"22";"98";"19";"8";"11";"0595"
"Reeuwijk";"2006";"80 tot 85 jaar";"267";"109";"158";"7";"2";"5";"131";"80";"51";"119";"25";"94";"10";"2";"8";"0595"
"Reeuwijk";"2006";"85 tot 90 jaar";"112";"31";"81";"8";"2";"6";"36";"24";"12";"64";"4";"60";"4";"1";"3";"0595"
"Reeuwijk";"2006";"90 tot 95 jaar";"36";"6";"30";"-";"-";"-";"4";"3";"1";"31";"3";"28";"1";"-";"1";"0595"
"Reeuwijk";"2006";"95 jaar of ouder";"14";"4";"10";"-";"-";"-";"-";"-";"-";"14";"4";"10";"-";"-";"-";"0595"
"Reiderland";"2006";"Totaal leeftijden";"6994";"3502";"3492";"2727";"1500";"1227";"3312";"1660";"1652";"522";"107";"415";"433";"235";"198";"1661"
"Reiderland";"2006";"Jonger dan 5 jaar";"354";"169";"185";"354";"169";"185";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1661"
"Reiderland";"2006";"5 tot 10 jaar";"349";"170";"179";"349";"170";"179";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1661"
"Reiderland";"2006";"10 tot 15 jaar";"374";"173";"201";"374";"173";"201";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1661"
"Reiderland";"2006";"15 tot 20 jaar";"384";"202";"182";"384";"202";"182";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1661"
"Reiderland";"2006";"20 tot 25 jaar";"281";"151";"130";"266";"146";"120";"15";"5";"10";"-";"-";"-";"-";"-";"-";"1661"
"Reiderland";"2006";"25 tot 30 jaar";"293";"152";"141";"218";"127";"91";"69";"23";"46";"-";"-";"-";"6";"2";"4";"1661"
"Reiderland";"2006";"30 tot 35 jaar";"437";"210";"227";"201";"118";"83";"210";"81";"129";"1";"-";"1";"25";"11";"14";"1661"
"Reiderland";"2006";"35 tot 40 jaar";"554";"284";"270";"166";"107";"59";"345";"160";"185";"2";"-";"2";"41";"17";"24";"1661"
"Reiderland";"2006";"40 tot 45 jaar";"595";"301";"294";"135";"82";"53";"397";"186";"211";"5";"2";"3";"58";"31";"27";"1661"
"Reiderland";"2006";"45 tot 50 jaar";"537";"279";"258";"91";"65";"26";"373";"179";"194";"7";"2";"5";"66";"33";"33";"1661"
"Reiderland";"2006";"50 tot 55 jaar";"544";"292";"252";"64";"50";"14";"398";"203";"195";"21";"7";"14";"61";"32";"29";"1661"
