"Huishoudens; personen naar geslacht, leeftijd en regio, 1 januari"
"";"Perioden";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2006"
"";"Geslacht";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen"
"";"Onderwerpen";"Totaal personen in huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in institutionele huishoudens";"Totaal personen in huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in institutionele huishoudens"
"";"Onderwerpen";"Totaal personen in huishoudens";"Totaal in particuliere huishoudens";"Thuiswonend kind";"Alleenstaand";"Samenwonend";"Samenwonend";"Samenwonend";"Samenwonend";"Samenwonend";"Ouder in eenouderhuishouden";"Overig lid huishouden";"Personen in institutionele huishoudens";"Totaal personen in huishoudens";"Totaal in particuliere huishoudens";"Thuiswonend kind";"Alleenstaand";"Samenwonend";"Samenwonend";"Samenwonend";"Samenwonend";"Samenwonend";"Ouder in eenouderhuishouden";"Overig lid huishouden";"Personen in institutionele huishoudens"
"";"Onderwerpen";"Totaal personen in huishoudens";"Totaal in particuliere huishoudens";"Thuiswonend kind";"Alleenstaand";"Totaal samenwonende personen";"Partner in niet-gehuwd paar zonder ki...";"Partner in gehuwd paar zonder kinderen";"Partner in niet-gehuwd paar met kinderen";"Partner in gehuwd paar met kinderen";"Ouder in eenouderhuishouden";"Overig lid huishouden";"Personen in institutionele huishoudens";"Totaal personen in huishoudens";"Totaal in particuliere huishoudens";"Thuiswonend kind";"Alleenstaand";"Totaal samenwonende personen";"Partner in niet-gehuwd paar zonder ki...";"Partner in gehuwd paar zonder kinderen";"Partner in niet-gehuwd paar met kinderen";"Partner in gehuwd paar met kinderen";"Ouder in eenouderhuishouden";"Overig lid huishouden";"Personen in institutionele huishoudens"
"Regio's";"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Nederland";"Totaal leeftijden";"8077407";"7998279";"2485606";"1151851";"4150773";"504093";"1574069";"261720";"1810891";"74079";"135970";"79128";"8256803";"8127278";"2134739";"1350233";"4136600";"485603";"1570235";"266599";"1814163";"378291";"127415";"129525"
"Nederland";"0 tot 5 jaar";"505570";"505056";"500867";" ";" ";" ";" ";" ";" ";" ";"4189";"514";"482582";"482146";"477762";" ";" ";" ";" ";" ";" ";" ";"4384";"436"
"Nederland";"5 tot 10 jaar";"510917";"510053";"507260";" ";" ";" ";" ";" ";" ";" ";"2793";"864";"487660";"486995";"484327";" ";" ";" ";" ";" ";" ";" ";"2668";"665"
"Nederland";"10 tot 15 jaar";"510266";"508028";"505016";" ";" ";" ";" ";" ";" ";" ";"3012";"2238";"487589";"486218";"483300";" ";" ";" ";" ";" ";" ";" ";"2918";"1371"
"Nederland";"15 tot 20 jaar";"506372";"501245";"465174";"24060";"4608";"4318";"68";"185";"37";"5";"7398";"5127";"484670";"481028";"428860";"30924";"11257";"9206";"707";"925";"419";"1240";"8747";"3642"
"Nederland";"20 tot 25 jaar";"487458";"483421";"285282";"111872";"64826";"47967";"7705";"4622";"4532";"187";"21254";"4037";"477286";"474566";"182560";"116394";"143244";"91768";"21523";"11333";"18620";"11741";"20627";"2720"
"Nederland";"25 tot 30 jaar";"497244";"493461";"110331";"142486";"223580";"122972";"35919";"21605";"43084";"560";"16504";"3783";"494631";"492501";"43735";"107405";"307452";"128370";"50686";"34876";"93520";"21831";"12078";"2130"
"Nederland";"30 tot 35 jaar";"563294";"559039";"41553";"135145";"369810";"97211";"50757";"55479";"166363";"1691";"10840";"4255";"561652";"559454";"13065";"78782";"423042";"68951";"47551";"66542";"239998";"38242";"6323";"2198"
"Nederland";"35 tot 40 jaar";"662351";"657426";"27668";"126257";"490018";"59507";"44193";"70247";"316071";"4778";"8705";"4925";"645924";"643166";"7805";"60703";"510750";"39235";"39621";"69129";"362765";"59638";"4270";"2758"
"Nederland";"40 tot 45 jaar";"666242";"660946";"18837";"112695";"510853";"41016";"43957";"50122";"375758";"10737";"7824";"5296";"648455";"645311";"5290";"54248";"508959";"29886";"45951";"44864";"388258";"72350";"4464";"3144"
"Nederland";"45 tot 50 jaar";"614181";"609054";"11830";"97063";"476170";"31521";"56304";"30525";"357820";"16255";"7736";"5127";"603975";"600835";"3700";"57257";"469462";"26650";"78846";"24244";"339722";"65134";"5282";"3140"
"Nederland";"50 tot 55 jaar";"564124";"559426";"6620";"83375";"446614";"26837";"127766";"16780";"275231";"15461";"7356";"4698";"555401";"552069";"2235";"70691";"431128";"25034";"184860";"9893";"211341";"41806";"6209";"3332"
"Nederland";"55 tot 60 jaar";"579927";"575589";"3592";"80398";"472093";"26185";"278619";"8062";"159227";"10616";"8890";"4338";"567685";"564590";"1388";"97392";"436126";"22700";"314766";"3122";"95538";"21460";"8224";"3095"
"Nederland";"60 tot 65 jaar";"420695";"417770";"1142";"56432";"347696";"16291";"270151";"2520";"58734";"4626";"7874";"2925";"417600";"415291";"489";"90543";"307263";"13823";"260428";"795";"32217";"9629";"7367";"2309"
"Nederland";"65 tot 70 jaar";"338845";"335912";"363";"48373";"276989";"11976";"236768";"961";"27284";"2832";"7355";"2933";"357101";"354110";"164";"100886";"238786";"10525";"212426";"347";"15488";"7304";"6970";"2991"
"Nederland";"70 tot 75 jaar";"266238";"262633";"61";"42629";"212089";"8200";"189232";"370";"14287";"2063";"5791";"3605";"313026";"307509";"47";"119668";"173185";"7891";"156023";"201";"9070";"7730";"6879";"5517"
"Nederland";"75 tot 80 jaar";"195660";"190494";"9";"38222";"146413";"5497";"132938";"155";"7823";"1804";"4046";"5166";"272573";"260696";"11";"136899";"108871";"5634";"98300";"136";"4801";"7937";"6978";"11877"
"Nederland";"80 tot 85 jaar";"120325";"113115";"1";"30596";"78572";"3084";"71983";"62";"3443";"1384";"2562";"7210";"216090";"192306";"1";"128098";"51150";"3479";"45638";"108";"1925";"6739";"6318";"23784"
"Nederland";"85 tot 90 jaar";"50508";"43460";"-";"16095";"25395";"1161";"23231";"18";"985";"720";"1250";"7048";"120861";"92432";"-";"70955";"13515";"1690";"11336";"55";"434";"3726";"4236";"28429"
"Nederland";"90 tot 95 jaar";"14692";"10653";"-";"5228";"4624";"300";"4124";"5";"195";"297";"504";"4039";"49706";"30243";"-";"24714";"2171";"616";"1491";"20";"44";"1399";"1959";"19463"
"Nederland";"95 jaar of ouder";"2498";"1498";"-";"925";"423";"50";"354";"2";"17";"63";"87";"1000";"12336";"5812";"-";"4674";"239";"145";"82";"9";"3";"385";"514";"6524"
