Regionale kerncijfers Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Onderwerpen;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking
;Onderwerpen;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingssamenstelling op 1 januari;Bevolkingsontwikkeling;Particuliere huishoudens;Particuliere huishoudens;Particuliere huishoudens;Particuliere huishoudens;Particuliere huishoudens
;Onderwerpen;Totale bevolking;Geslacht;Geslacht;Leeftijd;Leeftijd;Leeftijd;Leeftijd;Leeftijd;Leeftijd;Leeftijd;Leeftijd;Leeftijd;Burgerlijke staat;Burgerlijke staat;Burgerlijke staat;Burgerlijke staat;Herkomstgroepering;Herkomstgroepering;Herkomstgroepering;Herkomstgroepering;Herkomstgroepering;Herkomstgroepering;Herkomstgroepering;Herkomstgroepering;Herkomstgroepering;Bevolkingsgroei;Particuliere huishoudens;Particuliere huishoudens;Particuliere huishoudens;Particuliere huishoudens;Gemiddelde huishoudensgrootte
;Onderwerpen;Totale bevolking;Mannen;Vrouwen;Leeftijdsgroepen;Leeftijdsgroepen;Leeftijdsgroepen;Leeftijdsgroepen;Leeftijdsgroepen;Leeftijdsgroepen;Leeftijdsgroepen;Leeftijdsgroepen;Leeftijdsgroepen;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Herkomstgroepering;Herkomstgroepering;Herkomstgroepering;Herkomstgroepering;Herkomstgroepering;Herkomstgroepering;Herkomstgroepering;Herkomstgroepering;Herkomstgroepering;Gemiddeld aantal inwoners;Totaal aantal particuliere huishoudens;Eenpersoonshuishoudens;Huishoudens zonder kinderen;Huishoudens met kinderen;Gemiddelde huishoudensgrootte
;Onderwerpen;Totale bevolking;Mannen;Vrouwen;Jonger dan 5 jaar;5 tot 10 jaar;10 tot 15 jaar;15 tot 20 jaar;20 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 tot 80 jaar;80 jaar of ouder;Ongehuwd;Gehuwd;Gescheiden;Verweduwd;Autochtonen;Allochtonen;Allochtonen;Allochtonen;Allochtonen;Allochtonen;Allochtonen;Allochtonen;Allochtonen;Gemiddeld aantal inwoners;Totaal aantal particuliere huishoudens;Eenpersoonshuishoudens;Huishoudens zonder kinderen;Huishoudens met kinderen;Gemiddelde huishoudensgrootte
;Onderwerpen;Totale bevolking;Mannen;Vrouwen;Jonger dan 5 jaar;5 tot 10 jaar;10 tot 15 jaar;15 tot 20 jaar;20 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 tot 80 jaar;80 jaar of ouder;Ongehuwd;Gehuwd;Gescheiden;Verweduwd;Autochtonen;Totaal allochtonen;Westerse allochtonen;Niet-westerse allochtonen;Niet-westerse allochtonen;Niet-westerse allochtonen;Niet-westerse allochtonen;Niet-westerse allochtonen;Niet-westerse allochtonen;Gemiddeld aantal inwoners;Totaal aantal particuliere huishoudens;Eenpersoonshuishoudens;Huishoudens zonder kinderen;Huishoudens met kinderen;Gemiddelde huishoudensgrootte
;Onderwerpen;Totale bevolking;Mannen;Vrouwen;Jonger dan 5 jaar;5 tot 10 jaar;10 tot 15 jaar;15 tot 20 jaar;20 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 tot 80 jaar;80 jaar of ouder;Ongehuwd;Gehuwd;Gescheiden;Verweduwd;Autochtonen;Totaal allochtonen;Westerse allochtonen;Totaal niet-westerse allochtonen;Marokko;(Voormalige) Ned. Antillen en Aruba;Suriname;Turkije;Overige niet-westerse allochtonen;Gemiddeld aantal inwoners;Totaal aantal particuliere huishoudens;Eenpersoonshuishoudens;Huishoudens zonder kinderen;Huishoudens met kinderen;Gemiddelde huishoudensgrootte
Regio's;Perioden;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;personen per 1 huishouden
Nederland;2006;16334210;8077407;8256803;988152;998577;997855;991042;964744;4739793;4323588;1743443;587016;7499312;6964100;995902;874896;13186595;3147615;1427565;1720050;323239;129683;331890;364333;570905;16346101;7146088;2502084;2114857;2529147;2.26
Aa en Hunze;2006;25507;12618;12889;1422;1592;1621;1359;851;6123;8078;3373;1088;10033;12613;1150;1711;24210;1297;970;327;7;28;78;15;199;25535;10496;2586;4076;3834;2.39
Aalburg;2006;12222;6138;6084;879;949;956;866;739;3442;2881;1124;386;5406;5902;336;578;11760;462;329;133;11;6;24;6;86;12257.5;4214;850;1227;2137;2.87
