Bestaan tot;Eindjaar;Oude;Nieuwe;Huidige code;Huidige naam
1-1-1905;1905;GM1134;GM0489;GM0489;Barendrecht
1-8-1908;1908;GM1255;GM1060;GM0738;Aalburg
1-8-1908;1908;GM1263;GM1049;GM0738;Aalburg
1-8-1908;1908;GM1264;GM1111;GM0738;Aalburg
1-8-1908;1908;GM1265;GM0769;GM0870;Werkendam
1-1-1914;1914;GM1009;GM0141;GM0141;Almelo
1-1-1914;1914;GM1189;GM0141;GM0141;Almelo
1-1-1918;1918;GM1002;GM0484;GM0484;Alphen aan den Rijn
1-1-1918;1918;GM1008;GM0484;GM0484;Alphen aan den Rijn
1-1-1918;1918;GM1147;GM0484;GM0484;Alphen aan den Rijn
1-1-1920;1920;GM1010;GM0222;GM0222;Doetinchem
1-1-1920;1920;GM1061;GM0772;GM0772;Eindhoven
1-1-1920;1920;GM1141;GM0935;GM0935;Maastricht
1-1-1920;1920;GM1180;GM0935;GM0935;Maastricht
1-1-1920;1920;GM1190;GM0222;GM0222;Doetinchem
1-1-1920;1920;GM1199;GM0772;GM0772;Eindhoven
1-1-1920;1920;GM1201;GM0772;GM0772;Eindhoven
1-1-1920;1920;GM1203;GM0772;GM0772;Eindhoven
1-1-1920;1920;GM1228;GM0772;GM0772;Eindhoven
1-1-1921;1921;GM1034;GM0363;GM0363;Amsterdam
1-1-1921;1921;GM1082;GM0503;GM0503;Delft
1-1-1921;1921;GM1120;GM0363;GM0363;Amsterdam
1-1-1921;1921;GM1157;GM0363;GM0363;Amsterdam
1-1-1921;1921;GM1181;GM0363;GM0363;Amsterdam
1-1-1921;1921;GM1215;GM0503;GM0503;Delft
1-1-1921;1921;GM1219;GM0363;GM0363;Amsterdam
1-5-1921;1921;GM1132;GM0861;GM0861;Veldhoven
1-5-1921;1921;GM1206;GM0861;GM0861;Veldhoven
1-5-1921;1921;GM1233;GM0861;GM0861;Veldhoven
1-5-1921;1921;GM1235;GM0781;GM1771;Geldrop-Mierlo
1-1-1922;1922;GM1015;GM0867;GM0867;Waalwijk
1-1-1922;1922;GM1020;GM0867;GM0867;Waalwijk
1-1-1922;1922;GM1023;GM0774;GM0796;'s-Hertogenbosch
1-1-1923;1923;GM1001;GM0866;GM0866;Waalre
1-1-1923;1923;GM1036;GM0849;GM0867;Waalwijk
1-1-1923;1923;GM1051;GM0770;GM0770;Eersel
1-1-1923;1923;GM1187;GM0849;GM0867;Waalwijk
1-1-1923;1923;GM1216;GM0849;GM0867;Waalwijk
1-5-1923;1923;GM1012;GM0175;GM0175;Ommen
1-5-1923;1923;GM1016;GM0271;GM0252;Heumen
1-5-1923;1923;GM1042;GM0835;GM0828;Oss
1-5-1923;1923;GM1043;GM0835;GM0828;Oss
1-5-1923;1923;GM1046;GM0274;GM0274;Renkum
1-5-1923;1923;GM1049;GM0771;GM0738;Aalburg
1-5-1923;1923;GM1060;GM0771;GM0738;Aalburg
1-5-1923;1923;GM1088;GM0835;GM0828;Oss
1-5-1923;1923;GM1111;GM0771;GM0738;Aalburg
1-5-1923;1923;GM1192;GM0175;GM0175;Ommen
1-5-1923;1923;GM1231;GM0227;GM1740;Neder-Betuwe
1-7-1923;1923;GM1107;GM0518;GM0518;'s-Gravenhage
1-1-1925;1925;GM1183;GM0811;GM1706;Cranendonck
1-1-1926;1926;GM1041;GM0762;GM0762;Deurne
1-1-1926;1926;GM1212;GM0762;GM0762;Deurne
1-5-1927;1927;GM1173;GM0392;GM0392;Haarlem
1-5-1927;1927;GM1185;GM0392;GM0392;Haarlem
1-5-1929;1929;GM1153;GM0476;GM0441;Schagen
1-5-1931;1931;GM1048;GM0316;GM1581;Utrechtse Heuvelrug
1-5-1931;1931;GM1166;GM0316;GM1581;Utrechtse Heuvelrug
1-1-1933;1933;GM0277;GM0277;GM0277;Rozendaal (Gelderland)
1-1-1933;1933;GM1039;GM0865;GM0865;Vught
1-5-1934;1934;GM1026;GM0858;GM0858;Valkenswaard
1-5-1934;1934;GM1045;GM0858;GM0858;Valkenswaard
1-5-1934;1934;GM1085;GM0599;GM0599;Rotterdam
1-5-1934;1934;GM1106;GM0153;GM0153;Enschede
1-5-1934;1934;GM1152;GM0599;GM0599;Rotterdam
1-7-1934;1934;GM1006;GM0074;GM0074;Heerenveen
1-7-1934;1934;GM1174;GM0074;GM0074;Heerenveen
1-5-1935;1935;GM1071;GM0797;GM0797;Heusden
1-5-1935;1935;GM1080;GM0797;GM0797;Heusden
1-5-1935;1935;GM1102;GM0847;GM0847;Someren
1-5-1935;1935;GM1123;GM0864;GM0797;Heusden
1-5-1935;1935;GM1145;GM0767;GM0797;Heusden
1-5-1935;1935;GM1234;GM0637;GM0637;Zoetermeer
1-5-1936;1936;GM1229;GM0375;GM0375;Beverwijk
1-7-1936;1936;GM1027;GM0719;GM0677;Hulst
1-7-1936;1936;GM1077;GM0719;GM0677;Hulst
1-7-1936;1936;GM1138;GM0719;GM0677;Hulst
1-7-1936;1936;GM1198;GM0719;GM0677;Hulst
